r0,r1,l0,l1,i1,i2
51.0951008645533,82.57845303867403,59.37794533459001,79.09033005211349,5,5
51.959654178674356,82.80552486187845,59.88689915174365,78.61436016213086,5,5
51.959654178674356,82.12430939226519,59.37794533459001,78.13839027214823,5,5
54.03458213256485,83.03259668508288,58.105560791705926,76.23451071221771,5,5
52.82420749279538,83.03259668508288,56.663524976437316,76.63115228720324,5,5
52.04610951008647,82.88121546961327,56.91800188501415,76.63115228720324,5,5
51.0951008645533,83.03259668508288,56.32422243166823,77.5037637521714,5,5
52.21902017291066,83.71381215469613,56.40904806786051,76.78980891719745,5,5
53.25648414985591,83.3353591160221,56.32422243166823,77.4244354371743,5,5
52.9971181556196,83.3353591160221,55.90009425070687,76.71048060220035,5,5
51.61383285302594,83.18397790055249,57.172478793590955,77.4244354371743,5,5
52.82420749279538,83.86519337016574,56.57869934024504,77.5830920671685,5,5
52.478386167146965,83.25966850828729,55.645617342130066,77.6624203821656,6,6
52.7377521613833,84.31933701657458,53.86427898209237,78.13839027214823,6,6
52.7377521613833,85.37900552486188,54.11875589066918,77.90040532715692,6,6
51.52737752161383,81.97292817679558,53.86427898209237,75.75854082223509,6,6
51.18155619596541,82.80552486187845,53.60980207351554,77.18645049218297,6,6
50.92219020172911,83.94088397790055,54.45805843543826,77.26577880718008,6,6
51.268011527377524,84.62209944751382,53.94910461828465,75.75854082223509,6,6
52.04610951008647,84.62209944751382,53.779453345900095,77.18645049218297,6,6
51.52737752161383,85.6817679558011,54.88218661639962,77.4244354371743,6,6
54.207492795389044,87.42265193370166,53.86427898209237,77.4244354371743,6,6
54.293948126801155,85.5303867403315,53.44015080113101,77.6624203821656,6,6
51.70028818443805,86.6657458563536,52.67672007540057,76.31383902721483,7,7
53.4293948126801,86.13591160220994,53.10084825636193,75.67921250723799,7,7
55.15850144092218,88.33093922651933,50.386427898209234,73.85466126230457,7,7
53.94812680115274,88.40662983425415,48.435438265786985,75.20324261725536,7,7
54.55331412103746,88.63370165745856,49.53817153628651,75.9965257672264,7,7
52.9971181556196,88.33093922651933,49.53817153628651,73.77533294730748,7,7
53.77521613832852,88.55801104972376,49.0292177191329,74.48928778228141,7,7
53.083573487031714,89.61767955801105,50.386427898209234,75.36189924724957,7,7
55.3314121037464,90.2232044198895,50.30160226201696,74.48928778228141,7,7
53.51585014409221,87.8767955801105,52.93119698397737,75.75854082223509,7,7
52.13256484149855,86.6657458563536,50.64090480678604,75.67921250723799,7,7
53.60230547550432,87.11988950276243,51.0650329877474,75.04458598726114,7,7
52.9971181556196,88.25524861878453,51.319509896324234,75.9171974522293,7,7
52.82420749279538,87.64972375690608,50.810556079170595,74.88592935726693,7,7
54.293948126801155,90.2232044198895,50.55607917059379,75.83786913723219,7,7
53.60230547550432,87.57403314917127,48.944392082940624,76.78980891719745,7,7
53.1700288184438,87.57403314917127,51.319509896324234,75.28257093225245,7,7
52.478386167146965,87.11988950276243,48.60508953817154,76.39316734221192,7,7
51.70028818443805,87.64972375690608,49.96229971724787,77.18645049218297,7,7
53.51585014409221,85.98453038674033,50.47125353440151,75.04458598726114,7,7
52.39193083573488,87.04419889502762,50.47125353440151,75.36189924724957,7,7
52.478386167146965,87.8767955801105,50.21677662582471,75.28257093225245,7,7
52.39193083573488,86.89281767955801,51.23468426013196,75.75854082223509,7,7
51.873198847262245,87.34696132596684,50.72573044297832,76.23451071221771,7,7
52.39193083573488,87.8767955801105,50.47125353440151,77.18645049218297,7,7
51.52737752161383,86.7414364640884,50.55607917059379,75.44122756224667,7,7
52.91066282420749,87.57403314917127,50.64090480678604,75.83786913723219,7,7
51.786743515850134,88.40662983425415,50.89538171536287,76.55182397220614,7,7
50.40345821325647,87.04419889502762,50.04712535344015,75.83786913723219,8,8
50.74927953890489,85.83314917127072,50.72573044297832,76.47249565720904,8,8
49.10662824207492,85.5303867403315,54.62770970782282,77.7417486971627,8,8
50.40345821325647,85.22762430939227,54.62770970782282,78.45570353213665,8,8
49.19308357348703,86.51436464088398,54.797360980207344,78.85234510712218,8,8
49.10662824207492,85.45469613259668,53.69462770970782,78.53503184713375,8,8
49.19308357348703,86.13591160220994,53.52497643732329,77.6624203821656,8,8
49.020172910662836,87.49834254143646,53.60980207351554,76.07585408222351,8,8
49.97118155619597,86.96850828729282,54.28840716305373,78.45570353213665,8,8
53.4293948126801,88.48232044198895,49.368520263901985,74.48928778228141,8,8
53.25648414985591,88.86077348066298,49.792648444863346,75.9171974522293,8,8
53.25648414985591,87.72541436464088,47.841658812441096,75.44122756224667,8,8
54.812680115273764,87.11988950276243,47.417530631479735,74.171974522293,8,8
49.538904899135446,86.28729281767956,46.0603204524034,72.82339316734222,8,8
52.7377521613833,87.8011049723757,45.466540999057486,73.37869137232194,8,8
54.380403458213266,87.57403314917127,48.77474081055607,73.22003474232774,8,8
52.564841498559076,87.72541436464088,47.67200754005654,75.04458598726114,8,8
52.7377521613833,88.17955801104972,48.350612629594735,74.2513028372901,8,8
